Data;Dia da Semana;Feriado;;;
15/11/2010;segunda-feira;Proclamaá∆o da Rep£blica;;;
25/12/2010;s†bado;Natal;;;
01/01/2011;s†bado;Confraternizaá∆o Universal;;;
07/03/2011;segunda-feira;Carnaval;;;
08/03/2011;teráa-feira;Carnaval;;;
21/04/2011;quinta-feira;Paix∆o de Cristo;;;
22/04/2011;sexta-feira;Tiradentes;;;
01/05/2011;domingo;Dia do Trabalho;;;
23/06/2011;quinta-feira;Corpus Christi;;;
07/09/2011;quarta-feira;Independància do Brasil;;;
12/10/2011;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2011;quarta-feira;Finados;;;
15/11/2011;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2011;domingo;Natal;;;
01/01/2012;domingo;Confraternizaá∆o Universal;;;
20/02/2012;segunda-feira;Carnaval;;;
21/02/2012;teráa-feira;Carnaval;;;
06/04/2012;sexta-feira;Paix∆o de Cristo;;;
21/04/2012;s†bado;Tiradentes;;;
01/05/2012;teráa-feira;Dia do Trabalho;;;
07/06/2012;quinta-feira;Corpus Christi;;;
07/09/2012;sexta-feira;Independància do Brasil;;;
12/10/2012;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2012;sexta-feira;Finados;;;
15/11/2012;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2012;teráa-feira;Natal;;;
01/01/2013;teráa-feira;Confraternizaá∆o Universal;;;
11/02/2013;segunda-feira;Carnaval;;;
12/02/2013;teráa-feira;Carnaval;;;
29/03/2013;sexta-feira;Paix∆o de Cristo;;;
21/04/2013;domingo;Tiradentes;;;
01/05/2013;quarta-feira;Dia do Trabalho;;;
30/05/2013;quinta-feira;Corpus Christi;;;
07/09/2013;s†bado;Independància do Brasil;;;
12/10/2013;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2013;s†bado;Finados;;;
15/11/2013;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2013;quarta-feira;Natal;;;
01/01/2014;quarta-feira;Confraternizaá∆o Universal;;;
03/03/2014;segunda-feira;Carnaval;;;
04/03/2014;teráa-feira;Carnaval;;;
18/04/2014;sexta-feira;Paix∆o de Cristo;;;
21/04/2014;segunda-feira;Tiradentes;;;
01/05/2014;quinta-feira;Dia do Trabalho;;;
19/06/2014;quinta-feira;Corpus Christi;;;
07/09/2014;domingo;Independància do Brasil;;;
12/10/2014;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2014;domingo;Finados;;;
15/11/2014;s†bado;Proclamaá∆o da Rep£blica;;;
25/12/2014;quinta-feira;Natal;;;
01/01/2015;quinta-feira;Confraternizaá∆o Universal;;;
16/02/2015;segunda-feira;Carnaval;;;
17/02/2015;teráa-feira;Carnaval;;;
03/04/2015;sexta-feira;Paix∆o de Cristo;;;
21/04/2015;teráa-feira;Tiradentes;;;
01/05/2015;sexta-feira;Dia do Trabalho;;;
04/06/2015;quinta-feira;Corpus Christi;;;
07/09/2015;segunda-feira;Independància do Brasil;;;
12/10/2015;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2015;segunda-feira;Finados;;;
15/11/2015;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2015;sexta-feira;Natal;;;
01/01/2016;sexta-feira;Confraternizaá∆o Universal;;;
08/02/2016;segunda-feira;Carnaval;;;
09/02/2016;teráa-feira;Carnaval;;;
25/03/2016;sexta-feira;Paix∆o de Cristo;;;
21/04/2016;quinta-feira;Tiradentes;;;
01/05/2016;domingo;Dia do Trabalho;;;
26/05/2016;quinta-feira;Corpus Christi;;;
07/09/2016;quarta-feira;Independància do Brasil;;;
12/10/2016;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2016;quarta-feira;Finados;;;
15/11/2016;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2016;domingo;Natal;;;
01/01/2017;domingo;Confraternizaá∆o Universal;;;
27/02/2017;segunda-feira;Carnaval;;;
28/02/2017;teráa-feira;Carnaval;;;
14/04/2017;sexta-feira;Paix∆o de Cristo;;;
21/04/2017;sexta-feira;Tiradentes;;;
01/05/2017;segunda-feira;Dia do Trabalho;;;
15/06/2017;quinta-feira;Corpus Christi;;;
07/09/2017;quinta-feira;Independància do Brasil;;;
12/10/2017;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2017;quinta-feira;Finados;;;
15/11/2017;quarta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2017;segunda-feira;Natal;;;
01/01/2018;segunda-feira;Confraternizaá∆o Universal;;;
12/02/2018;segunda-feira;Carnaval;;;
13/02/2018;teráa-feira;Carnaval;;;
30/03/2018;sexta-feira;Paix∆o de Cristo;;;
21/04/2018;s†bado;Tiradentes;;;
01/05/2018;teráa-feira;Dia do Trabalho;;;
31/05/2018;quinta-feira;Corpus Christi;;;
07/09/2018;sexta-feira;Independància do Brasil;;;
12/10/2018;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2018;sexta-feira;Finados;;;
15/11/2018;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2018;teráa-feira;Natal;;;
01/01/2019;teráa-feira;Confraternizaá∆o Universal;;;
04/03/2019;segunda-feira;Carnaval;;;
05/03/2019;teráa-feira;Carnaval;;;
19/04/2019;sexta-feira;Paix∆o de Cristo;;;
21/04/2019;domingo;Tiradentes;;;
01/05/2019;quarta-feira;Dia do Trabalho;;;
20/06/2019;quinta-feira;Corpus Christi;;;
07/09/2019;s†bado;Independància do Brasil;;;
12/10/2019;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2019;s†bado;Finados;;;
15/11/2019;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2019;quarta-feira;Natal;;;
01/01/2020;quarta-feira;Confraternizaá∆o Universal;;;
24/02/2020;segunda-feira;Carnaval;;;
25/02/2020;teráa-feira;Carnaval;;;
10/04/2020;sexta-feira;Paix∆o de Cristo;;;
21/04/2020;teráa-feira;Tiradentes;;;
01/05/2020;sexta-feira;Dia do Trabalho;;;
11/06/2020;quinta-feira;Corpus Christi;;;
07/09/2020;segunda-feira;Independància do Brasil;;;
12/10/2020;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2020;segunda-feira;Finados;;;
15/11/2020;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2020;sexta-feira;Natal;;;
01/01/2021;sexta-feira;Confraternizaá∆o Universal;;;
15/02/2021;segunda-feira;Carnaval;;;
16/02/2021;teráa-feira;Carnaval;;;
02/04/2021;sexta-feira;Paix∆o de Cristo;;;
21/04/2021;quarta-feira;Tiradentes;;;
01/05/2021;s†bado;Dia do Trabalho;;;
03/06/2021;quinta-feira;Corpus Christi;;;
07/09/2021;teráa-feira;Independància do Brasil;;;
12/10/2021;teráa-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2021;teráa-feira;Finados;;;
15/11/2021;segunda-feira;Proclamaá∆o da Rep£blica;;;
25/12/2021;s†bado;Natal;;;
01/01/2022;s†bado;Confraternizaá∆o Universal;;;
28/02/2022;segunda-feira;Carnaval;;;
01/03/2022;teráa-feira;Carnaval;;;
15/04/2022;sexta-feira;Paix∆o de Cristo;;;
21/04/2022;quinta-feira;Tiradentes;;;
01/05/2022;domingo;Dia do Trabalho;;;
16/06/2022;quinta-feira;Corpus Christi;;;
07/09/2022;quarta-feira;Independància do Brasil;;;
12/10/2022;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2022;quarta-feira;Finados;;;
15/11/2022;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2022;domingo;Natal;;;
01/01/2023;domingo;Confraternizaá∆o Universal;;;
20/02/2023;segunda-feira;Carnaval;;;
21/02/2023;teráa-feira;Carnaval;;;
07/04/2023;sexta-feira;Paix∆o de Cristo;;;
21/04/2023;sexta-feira;Tiradentes;;;
01/05/2023;segunda-feira;Dia do Trabalho;;;
08/06/2023;quinta-feira;Corpus Christi;;;
07/09/2023;quinta-feira;Independància do Brasil;;;
12/10/2023;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2023;quinta-feira;Finados;;;
15/11/2023;quarta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2023;segunda-feira;Natal;;;
01/01/2024;segunda-feira;Confraternizaá∆o Universal;;;
12/02/2024;segunda-feira;Carnaval;;;
13/02/2024;teráa-feira;Carnaval;;;
29/03/2024;sexta-feira;Paix∆o de Cristo;;;
21/04/2024;domingo;Tiradentes;;;
01/05/2024;quarta-feira;Dia do Trabalho;;;
30/05/2024;quinta-feira;Corpus Christi;;;
07/09/2024;s†bado;Independància do Brasil;;;
12/10/2024;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2024;s†bado;Finados;;;
15/11/2024;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2024;quarta-feira;Natal;;;
01/01/2025;quarta-feira;Confraternizaá∆o Universal;;;
03/03/2025;segunda-feira;Carnaval;;;
04/03/2025;teráa-feira;Carnaval;;;
18/04/2025;sexta-feira;Paix∆o de Cristo;;;
21/04/2025;segunda-feira;Tiradentes;;;
01/05/2025;quinta-feira;Dia do Trabalho;;;
19/06/2025;quinta-feira;Corpus Christi;;;
07/09/2025;domingo;Independància do Brasil;;;
12/10/2025;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2025;domingo;Finados;;;
15/11/2025;s†bado;Proclamaá∆o da Rep£blica;;;
25/12/2025;quinta-feira;Natal;;;
01/01/2026;quinta-feira;Confraternizaá∆o Universal;;;
16/02/2026;segunda-feira;Carnaval;;;
17/02/2026;teráa-feira;Carnaval;;;
03/04/2026;sexta-feira;Paix∆o de Cristo;;;
21/04/2026;teráa-feira;Tiradentes;;;
01/05/2026;sexta-feira;Dia do Trabalho;;;
04/06/2026;quinta-feira;Corpus Christi;;;
07/09/2026;segunda-feira;Independància do Brasil;;;
12/10/2026;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2026;segunda-feira;Finados;;;
15/11/2026;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2026;sexta-feira;Natal;;;
01/01/2027;sexta-feira;Confraternizaá∆o Universal;;;
08/02/2027;segunda-feira;Carnaval;;;
09/02/2027;teráa-feira;Carnaval;;;
26/03/2027;sexta-feira;Paix∆o de Cristo;;;
21/04/2027;quarta-feira;Tiradentes;;;
01/05/2027;s†bado;Dia do Trabalho;;;
27/05/2027;quinta-feira;Corpus Christi;;;
07/09/2027;teráa-feira;Independància do Brasil;;;
12/10/2027;teráa-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2027;teráa-feira;Finados;;;
15/11/2027;segunda-feira;Proclamaá∆o da Rep£blica;;;
25/12/2027;s†bado;Natal;;;
01/01/2028;s†bado;Confraternizaá∆o Universal;;;
28/02/2028;segunda-feira;Carnaval;;;
29/02/2028;teráa-feira;Carnaval;;;
14/04/2028;sexta-feira;Paix∆o de Cristo;;;
21/04/2028;sexta-feira;Tiradentes;;;
01/05/2028;segunda-feira;Dia do Trabalho;;;
15/06/2028;quinta-feira;Corpus Christi;;;
07/09/2028;quinta-feira;Independància do Brasil;;;
12/10/2028;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2028;quinta-feira;Finados;;;
15/11/2028;quarta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2028;segunda-feira;Natal;;;
01/01/2029;segunda-feira;Confraternizaá∆o Universal;;;
